date,game,recommendationid,voted_up,hype_keywords_found,review_length
2026-06-28,Enshrouded,229019602,True,early access,331
2026-06-28,Enshrouded,228983060,True,early access,153
2026-06-28,Enshrouded,228835718,True,early access,5100
2026-06-28,Enshrouded,228824810,True,early access,277
2026-06-28,Enshrouded,228801340,True,early access,308
2026-06-28,Enshrouded,228757753,False,early access,454
2026-06-28,Enshrouded,228751792,True,early access,729
2026-06-28,Enshrouded,228682051,False,early access,389
2026-06-28,Enshrouded,228670688,False,early access,513
2026-06-28,Enshrouded,228645622,True,early access,128
