date,game,recommendationid,voted_up,has_performance_complaint,review_length
2026-06-27,DayZ,228994002,True,False,9
2026-06-27,DayZ,228990708,True,False,89
2026-06-27,DayZ,228989318,True,False,9
2026-06-27,DayZ,228986550,True,False,33
2026-06-27,DayZ,228985906,True,False,2003
2026-06-27,DayZ,228985160,True,False,86
2026-06-27,DayZ,228977591,True,False,33
2026-06-27,DayZ,228977474,True,False,62
2026-06-27,DayZ,228976859,True,False,5
2026-06-27,DayZ,228975949,True,False,97
2026-06-27,DayZ,228973324,True,False,2
2026-06-27,DayZ,228972222,True,False,167
2026-06-27,DayZ,228972121,True,False,22
2026-06-27,DayZ,228964864,True,False,24
2026-06-27,DayZ,228962239,True,False,3
2026-06-27,DayZ,228960017,True,False,40
2026-06-27,DayZ,228959398,True,False,309
2026-06-27,DayZ,228959288,True,False,77
2026-06-27,DayZ,228947850,True,False,1
2026-06-27,DayZ,228946968,True,False,166
2026-06-27,DayZ,228946865,True,False,12
2026-06-27,DayZ,228946499,True,True,72
2026-06-27,DayZ,228944591,True,False,9
2026-06-27,DayZ,228938703,True,False,5
2026-06-27,DayZ,228937670,True,False,44
2026-06-27,DayZ,228935973,True,False,8
2026-06-27,DayZ,228931302,False,True,1352
2026-06-27,DayZ,228930924,False,False,215
2026-06-27,DayZ,228930426,True,False,3
2026-06-27,DayZ,228930170,True,False,93
2026-06-27,DayZ,228926176,True,False,0
2026-06-27,DayZ,228924048,False,False,6
2026-06-27,DayZ,228923778,True,False,22
2026-06-27,DayZ,228923187,False,False,131
2026-06-27,DayZ,228919742,True,False,10
2026-06-27,DayZ,228919268,True,False,55
2026-06-27,DayZ,228916915,False,False,252
2026-06-27,DayZ,228911660,True,False,6
2026-06-27,DayZ,228910184,True,False,8
2026-06-27,DayZ,228906547,True,False,10
2026-06-27,DayZ,228903583,True,False,3
2026-06-27,DayZ,228901917,True,False,130
2026-06-27,DayZ,228901079,True,False,36
2026-06-27,DayZ,228899282,True,False,81
2026-06-27,DayZ,228897664,False,False,59
2026-06-27,DayZ,228897395,True,False,303
2026-06-27,DayZ,228897048,True,False,12
2026-06-27,DayZ,228895087,True,False,61
2026-06-27,DayZ,228892627,True,False,7
2026-06-27,DayZ,228891915,True,False,13
2026-06-27,DayZ,228889044,True,False,40
2026-06-27,DayZ,228884758,True,False,74
2026-06-27,DayZ,228881835,False,False,20
2026-06-27,DayZ,228879100,True,False,166
2026-06-27,DayZ,228877085,True,False,24
2026-06-27,DayZ,228864861,False,False,58
2026-06-27,DayZ,228864211,True,False,243
2026-06-27,DayZ,228863590,True,False,6
2026-06-27,DayZ,228861612,True,False,80
2026-06-27,DayZ,228860074,True,False,293
2026-06-27,DayZ,228859823,True,False,403
2026-06-27,DayZ,228856182,True,False,3
2026-06-27,DayZ,228854670,True,False,661
2026-06-27,DayZ,228853360,True,False,7
2026-06-27,DayZ,228852059,True,False,25
2026-06-27,DayZ,228848063,True,False,6
2026-06-27,DayZ,228847667,True,False,10
2026-06-27,DayZ,228847344,True,False,93
2026-06-27,DayZ,228845984,True,False,263
2026-06-27,DayZ,228842999,True,False,56
2026-06-27,DayZ,228839560,True,False,7
2026-06-27,DayZ,228837787,True,False,15
2026-06-27,DayZ,228832741,True,False,7
2026-06-27,DayZ,228832307,True,False,5
2026-06-27,DayZ,228829977,True,False,14
2026-06-27,DayZ,228828793,True,False,26
2026-06-27,DayZ,228827807,True,False,24
2026-06-27,DayZ,228827415,False,False,84
2026-06-27,DayZ,228825771,True,False,146
2026-06-27,DayZ,228825550,True,False,103
2026-06-27,DayZ,228825295,False,False,196
2026-06-27,DayZ,228824779,True,False,117
2026-06-27,DayZ,228824198,True,False,31
2026-06-27,DayZ,228818482,True,False,4
2026-06-27,DayZ,228815492,False,False,18
2026-06-27,DayZ,228809160,True,False,8
2026-06-27,DayZ,228808159,True,False,9
2026-06-27,DayZ,228805738,True,False,52
2026-06-27,DayZ,228804710,True,False,11
2026-06-27,DayZ,228804237,False,False,54
2026-06-27,DayZ,228789588,True,False,54
2026-06-27,DayZ,228786764,True,False,40
2026-06-27,DayZ,228786575,True,False,25
2026-06-27,DayZ,228786526,True,False,374
2026-06-27,DayZ,228783267,True,False,201
2026-06-27,DayZ,228782479,True,False,64
2026-06-27,DayZ,228782342,True,False,131
2026-06-27,DayZ,228782131,True,False,145
2026-06-27,DayZ,228781859,True,False,14
2026-06-27,DayZ,228779777,False,False,406
