date,game,player_count
2026-06-28,PUBG: BATTLEGROUNDS,314682
2026-06-28,ELDEN RING NIGHTREIGN,163599
2026-06-28,Rust,143870
2026-06-28,Apex Legends,124262
2026-06-28,Wallpaper Engine,91184
2026-06-28,NARAKA: BLADEPOINT,66954
2026-06-28,Dead by Daylight,44886
2026-06-28,Crosshair X,41428
2026-06-28,DayZ,37066
2026-06-28,R.E.P.O.,32349
2026-06-28,Don't Starve Together,30542
2026-06-28,Left 4 Dead 2,25122
2026-06-28,Terraria,24580
2026-06-28,Project Zomboid,22864
2026-06-28,ARK: Survival Evolved,22170
2026-06-28,RimWorld,19211
2026-06-28,Palworld,18028
2026-06-28,7 Days to Die,17045
2026-06-28,Factorio,16426
2026-06-28,Soundpad,15279
2026-06-28,Russian Fishing 4,14950
2026-06-28,Valheim,14439
2026-06-28,Brawlhalla,14169
2026-06-28,Satisfactory,12596
2026-06-28,Eternal Return,12341
2026-06-28,No Man's Sky,12291
2026-06-28,ARK: Survival Ascended,12007
2026-06-28,Fallout 4,11179
2026-06-28,V Rising,10961
2026-06-28,Enshrouded,10654
2026-06-28,Unturned,10408
2026-06-28,Tom Clancy’s The Division 2,9481
2026-06-28,Squad,9116
2026-06-28,Fallout 76,8796
2026-06-28,SCUM,8535
2026-06-28,Albion Online,8184
2026-06-28,Risk of Rain 2,7902
2026-06-28,Sultan's Game,7726
2026-06-28,Oxygen Not Included,7545
2026-06-28,Gray Zone Warfare,7543
2026-06-28,Bloons TD 6,7489
2026-06-28,The Planet Crafter,7330
2026-06-28,Counter-Strike,7323
2026-06-28,Brotato,6389
2026-06-28,Hunt: Showdown 1896,6300
2026-06-28,Counter-Strike: Source,6187
2026-06-28,The Isle,5946
2026-06-28,Conan Exiles Enhanced,5677
2026-06-28,Kenshi,5412
2026-06-28,Deep Rock Galactic,5216
